,Company Name,Company Website,Description,Media Spend (M)
703,"Homeland Stores, Inc.",www.homelandstores.com,grocery store chain,Less than $750K
705,"Horny Toad Activewear, Inc.",www.hornytoad.com,apparel,Less than $750K
706,Hot Stuff Foods,www.hotstufffoods.com,convenience store food,Less than $750K
708,"Houchens Industries, Inc.",www.houchensindustries.com,grocery stores,Less than $750K
710,"Hunt Brothers Pizza, LLC",www.huntbrotherspizza.com/,quick serve restaurant,Less than $750K
711,"Hunter Mfg, LLP",www.huntermfg.com,licensed sports consumer products,Less than $750K
713,Icebreaker,www.icebreaker.com,outdoor apparel,Less than $750K
714,Incase Designs Corporation,goincase.com,carrying case manufacturer,Less than $750K
716,"Inserra Supermarkets, Inc.",www.shoprite.com,supermarkets,Less than $750K
717,Intermix Holdco Inc.,www.intermixonline.com/,women's apparel & accessories,Less than $750K
718,"International Textiles Group, Inc",www.itg-global.com,"denim manufacturer, home furnishings fabrics, textiles, carpet, yarn",Less than $750K
719,IWC North America,www.iwc.com,luxury goods manufacturer,Less than $750K
720,J&D's Foods,www.jdfoods.net,bacon-flavored foodstuffs,Less than $750K
721,J. Barbour & Sons Ltd,www.barbour.com,casual & outdoor clothing,Less than $750K
725,"Jaclyn, Inc.",www.jaclyninc.com,apparel-clothing,Less than $750K
726,"JanSport, Inc.",www.jansport.com,backpacks & book bags,Less than $750K
727,"Jessica McClintock, Inc.",www.jessicamcclintock.com,perfume & clothing,Less than $750K
728,Jewel-Osco,www.jewelosco.com,grocery & drug stores,Less than $750K
733,JSSI,www.lugz.com,athletic footwear,Less than $750K
734,Junonia Ltd.,www.junonia.com,plus-sized women's apparel retailer,Less than $750K
736,"K-Swiss, Inc.",www.kswiss.com,fitness footwear,Less than $750K
737,"K-VA-T Food Stores, Inc.",www.foodcity.com,supermarkets ,Less than $750K
738,K2 Sports,www.k2sports.com,outdoor apparel & accessories ,Less than $750K
739,"Karmaloop, LLC",www.karmaloop.com,online apparel retailer,Less than $750K
740,"KAVU, Inc.",www.kavu.com,outdoor clothing,Less than $750K
741,Kayser - Roth Corporation ,www.kayser-roth.com,hosiery & socks,Less than $750K
744,"Kelly-Moore Paint Company, Inc.",www.kellymoore.com,paint manufacturer & retailer,Less than $750K
745,"Kemistre Eight, LLC",www.akademiks.com,apparel & accessories,Less than $750K
746,"Kerr Drug, Inc.",www.kerrdrug.com,drug stores,Less than $750K
749,"King Soopers, Inc.",www.kingsoopers.com,grocery stores,Less than $750K
750,KJUS USA,www.kjus.com,sports apparel,Less than $750K
752,"Kwik Shop, Inc.",www.kwikshop.com,convenience store chain,Less than $750K
753,L'Amy America,www.lamygroup.com,sunglasses & prescription eyewear,Less than $750K
755,La Curacao,www.lacuracao.net,department stores,Less than $750K
756,"La Jolla Group, Inc.",www.lajollagroup.com,surf apparel,Less than $750K
757,"LaCrosse Footwear, Inc.",www.lacrossefootwear.com,footwear,Less than $750K
758,Lands' End Business Outfitters,www.landsend.com,branded corporate apparel,Less than $750K
760,LAT Sportswear,www.latsportswear.com,accessories,Less than $750K
763,LifeWay Christian Resources,www.lifeway.com,"Christian stores, publishing",Less than $750K
764,Lillian Vernon Corporation,www.lillianvernon.com,mail-order retailer,Less than $750K
766,Liquidation Channel,www.liquidationchannel.com/,jewelry auction website & show,Less than $750K
768,LMC Right Start,www.rightstart.com,infant & children's products,Less than $750K
770,"Longworth Industries, Inc.",www.polarmax.com,apparel manufacturer ,Less than $750K
775,"M.J. Soffe Company, Inc.",www.soffe.com,sportswear,Less than $750K
776,Mac-Gray Corporation,www.mac-gray.com,coin-operated washers & dryers,Less than $750K
778,"Mamiye Brothers, Inc.",www.mamiye.com,children's & teen apparel,Less than $750K
779,"Man-dell Food Stores, Inc.",none (7/09),supermarkets,Less than $750K
781,"Marsh Supermarkets, Inc.",www.marsh.net,grocery store chain,Less than $750K
782,"Marware, Inc.",www.marware.com,accessories,Less than $750K
783,"Maui Jim, Inc.",www.mauijim.com,polarized sunglasses,Less than $750K
786,MC Sports,www.mcsports.com,retail sports stores,Less than $750K
787,McCoy Corporation ,www.mccoys.com,building supply centers,Less than $750K
788,McNett Corporation,www.mcnett-outdoor.com,outdoor specialty products & sporting goods,Less than $750K
789,"Medicine Shoppe International, Inc.",www.medshoppe.com,drug stores,Less than $750K
790,"MexGrocer.com, LLC",www.mexgrocer.com,online grocery store,Less than $750K
791,Micro Electronics,www.microelectronics.com,"computer stores, mail-order ",Less than $750K
792,Mitchell & Ness ,www.mitchellandness.com,sports wear,Less than $750K
793,"Mizuno Sports USA, Inc.",www.mizunousa.com,sporting equipment & apparel manufacturer,Less than $750K
797,"mophie, Inc.",www.mophie.com,mobile technology cases & accessories,Less than $750K
800,"Mountain Hardwear, Inc.",www.mountainhardwear.com,outdoor apparel & accessories,Less than $750K
801,"Mounted Memories, Inc.",www.dreamscorp.com,sports memorabilia,Less than $750K
802,"Munro & Company, Inc.",www.munroshoe.com,shoes,Less than $750K
804,Musicnotes Inc.,www.musicnotes.com,online sheet music retailer,Less than $750K
806,Nash Finch Company,www.nashfinch.com,grocery wholesaler & retailer,Less than $750K
810,Neill Corporation,www.neill.net,manufactures hair care products & manages concept salons,Less than $750K
811,Neiman Marcus Direct,www.neimanmarcus.com,catalog division,Less than $750K
812,New England Footwear,www.newenglandfootwear.com,shoe manufacturer,Less than $750K
813,"New Horizons Computer Learning Centers, Inc.",www.newhorizons.com,computer training centers,Less than $750K
814,"Niemann Foods, Inc.",www.freshtraditions.com,grocery stores,Less than $750K
815,"Nine West Group, Inc.",www.ninewest.com,women's shoes,Less than $750K
818,"Norm Thompson Outfitters, Inc.",www.normthompson.com,apparel catalogs,Less than $750K
819,North Carolina Mutual Drug Company,www.mutualdrug.com,drug stores,Less than $750K
820,NuStar Energy Corporation,www.nustarenergy.com,"oil refining, convenience stores",Less than $750K
822,Oliver Peoples,www.oliverpeoples.com,upscale designer eyeglasses,Less than $750K
823,"Oneida, Ltd.",www.oneida.com,"dinnerware, flatware, crystal, cookware",Less than $750K
824,Ontel Products Corporation,www.ontelproducts.com/index.html,as-seen-on tv products,Less than $750K
827,"Orchard Supply Hardware, Inc.",www.osh.com,hardware supply stores,Less than $750K
828,Orrefors,www.orrefors.us,art products,Less than $750K
829,"OshKosh B'Gosh, Inc.",www.oshkoshbgosh.com,children's clothing & accessories,Less than $750K
831,Outdoor Recreation Group,www.outdoorproducts.com,outdoor products,Less than $750K
832,"Oxford Industries, Inc.",www.oxfordinc.com,clothing manufacturer,Less than $750K
833,"Pantry, Inc.",www.thepantry.com,convenience store chain,Less than $750K
834,Park Seed Company,www.parkseed.com,mail order gardening,Less than $750K
835,"PCM, Inc.",www.pcm.com,PC & MAC equipment,Less than $750K
837,Pearl Izumi,www.pearlizumi.com,clothing,Less than $750K
838,"Pelle Pelle, Inc.",www.pellepellemb.com,leather jackets & sportswear,Less than $750K
842,"Petland, Inc.",www.petland.com,pet stores,Less than $750K
843,"Phoenix Footwear Group, Inc.",www.phoenixfootwear.com,shoe manufacturer,Less than $750K
844,Piggly Wiggly Midwest,www.shopthepig.com,supermarkets,Less than $750K
845,"Play N Trade Franchise, Inc.",www.playntrade.com,video game franchise,Less than $750K
846,PLV Studio Inc,www.pourlavictoire.com/,specialty retailer,Less than $750K
848,Prada New York,www.prada.com,upscale clothing & couturier,Less than $750K
849,"Premier International Holdings, Inc.",www.gopremier.com,convenience store products,Less than $750K
850,Price Chopper,www.pricechopper.com,supermarket,Less than $750K
851,"PriceSmart, Inc.",www.pricesmart.com,general merchandise stores,Less than $750K
852,"Prince Sports, Inc.",www.princesports.com,athletic equipment,Less than $750K
853,"QST Industries, Inc.",www.qst.com,clothing components,Less than $750K
854,"Quik Stop Markets, Inc.",www.quikstop.com,convenience stores,Less than $750K
855,R.G. Barry Corporation,www.rgbarry.com,footwear,Less than $750K
856,"Rack Room Shoes, Inc.",www.rackroomshoes.com,retail shoe stores,Less than $750K
859,"Randa Accessories, LLC",www.randa.net,accessories & leather goods,Less than $750K
860,"Rawlings Sporting Goods Company, Inc.",www.rawlings.com,athletic equipment,Less than $750K
864,Reef Americas,www.reef.com,surf apparel,Less than $750K
866,Renfro Corporation,www.renfro.com,apparel manufacturer,Less than $750K
868,Retail Brand Alliance,,men's apparel,Less than $750K
869,Richline Group,www.richlinegroup.com,fine jewelry manufacturer,Less than $750K
872,"Rocawear, Inc.",www.rocawear.com,urban clothing,Less than $750K
873,Rocket Dog Brands LLC,www.rocketdog.com,women's footwear,Less than $750K
874,Rocky Brands,www.rockybrands.com/,"boots, shoes",Less than $750K
875,Rocky Mountain Clothing Company,www.rockymountainclothing.com,western wear,Less than $750K
876,Rodda Paint Company,www.roddapaint.com,paint,Less than $750K
877,Rooster Group,www.roostergroup.com,leather goods & tool belts,Less than $750K
879,Russell Corporation,www.russell-brands.com,sports clothing,Less than $750K
880,Ryderz Compound,www.nofear.com,sports equipment & clothing,Less than $750K
881,Safariland,www.safariland.com,"security systems, bullet resistant vests, backpacks",Less than $750K
883,"Safilo USA, Inc.",www.safilousa.com,Luxury eyewear manufacturer and licenser,Less than $750K
884,Saker Shop-rite,www.shoprite.com,supermarket chain,Less than $750K
887,"Samuels Jewelers, Inc.",www.samuelsjewelers.com,retail jewelry stores,Less than $750K
888,Sanuk,www.sanuk.com,footwear,Less than $750K
890,Scott Sports USA,www.garmontusa.com,ski and outdoor apparel,Less than $750K
891,SCP Pool Corporation,www.poolcorp.com,swimming pool supplies,Less than $750K
892,"Sean John Clothing, Inc.",www.seanjohn.com,clothing,Less than $750K
893,Seiko Corporation of America,www.seikousa.com,"consumer time-pieces, watches, clocks",Less than $750K
894,Selective Eyewear Elements,www.seeeyewear.com,retail optics chain,Less than $750K
897,"Shaw's Supermarkets, Inc.",www.shaws.com,grocery stores,Less than $750K
899,"Shop 'N Save Foods, Inc.",www.shopnsave.com,warehouse stores,Less than $750K
900,Shoppers Food Warehouse Corp.,www.shoppersfood.com,discount food stores,Less than $750K
901,"Showa-Best Glove, Inc.",www.showabestglove.com,disposable gloves,Less than $750K
902,"Shreve, Crump & Low",www.shrevecrumplow.com,"diamonds, gems, and silver",Less than $750K
903,"Simon Property Group, Inc.",www.simon.com,own & manage malls,Less than $750K
904,Simply Shops,www.simplyretailinc.com,healthcare retail,Less than $750K
905,"Sir Speedy, Inc.",www.sirspeedy.com,retail printer,Less than $750K
906,skinnyCorp LLC,www.skinnycorp.com,T-shirts,Less than $750K
908,SmartWool,www.smartwool.com,sports apparel,Less than $750K
910,Sneaker Villa,www.sneakervilla.com,apparel & shoe retailer,Less than $750K
911,Sofft Shoe Company / Dexter Shoe Company,www.sofftshoes.com,women's footwear,Less than $750K
912,Sole Technology,www.soletechnology.com,footwear & clothing,Less than $750K
913,"Southern Tide, LLC",www.southerntide.com,apparel,Less than $750K
914,"SouthPole, Inc.",www.southpole-usa.com,apparel,Less than $750K
916,Speck Products,www.speckproducts.com,carrying case manufacturer,Less than $750K
917,"Spencer Gifts, LLC",www.spencersonline.com/,novelty retailer,Less than $750K
918,"Sportsman's Guide, Inc. ",www.sportsmansguide.com,athletic apparel & equipment,Less than $750K
919,Spy Optics,www.spyoptic.com,sunglasses & goggles,Less than $750K
920,"Spyder Active Sports, Inc.",www.spyder.com,outdoor sports apparel,Less than $750K
921,"St. John Knits International, Inc.",www.sjk.com,women's apparel,Less than $750K
924,"Sterling Jewelers, Inc.",www.sterlingjewelers.com,jewelry stores,Less than $750K
925,Stewart's Shops Corporation,www.stewartsshops.com,convenience shops,Less than $750K
926,"Stuart Weitzman, LLC",www.stuartweitzman.com,leather goods,Less than $750K
927,Sun & Skin Care Research,www.opotion.com,skin products,Less than $750K
928,Sunrise Brands,www.tags.com,private-label casual apparel,Less than $750K
929,Superdry,www.superdry.com,apparel & fashion,Less than $750K
930,Susser Holdings Corporation,www.susser.com,"convenience stores, gas stations",Less than $750K
931,"Sutherland Lumber Company, LP",www.sutherlands.com,home improvement retailer,Less than $750K
932,"Swank, Inc.",www.swankinc.com,fashion accessories,Less than $750K
933,"Swarovski North America, Ltd.",www.swarovski.com,fine silver & crystal ,Less than $750K
934,Sweetbay Supermarkets,www.sweetbaysupermarket.com,grocery chain,Less than $750K
937,"Tandy Brands Accessories, Inc.",www.tandybrands.com,leather goods & accessories,Less than $750K
940,"Targus, Inc.",www.targus.com,laptop computer cases & accessories,Less than $750K
941,"Tasti D-Lite, LLC",www.tastidlite.com,fast casual restaurant,Less than $750K
945,"The Buckle, Inc.",www.buckle.com,clothing ,Less than $750K
946,"The Clarks Companies, N.A.",www.clarksusa.com,shoes & accessories,Less than $750K
947,The Cockpit USA,www.cockpitusa.com,apparel & accessories,Less than $750K
948,The Collegiate Licensing Company,www.clc.com,collegiate trademark licensing,Less than $750K
949,The Dessy Group,www.dessy.com,formal wear manufacturer,Less than $750K
950,"The Echo Design Group, Inc.",www.echodesign.com,accessories,Less than $750K
952,The Halston Company,www.halston.com,apparel/accessories,Less than $750K
953,The Judith Leiber Company,www.judithleiber.com,handbags & accessories,Less than $750K
954,The Life is good Company,www.lifeisgood.com,casual apparel,Less than $750K
955,"The Movado Group of Canada, Inc.",www.movadogroup.com,watches & timepieces,Less than $750K
957,The Snip-its Corporation,www.snipits.com,children's hair salons,Less than $750K
959,The Walking Company,www.thewalkingco.com,footwear,Less than $750K
961,The Yucaipa Companies LLC,www.yucaipaco.com,investment company,Less than $750K
963,Thierry Mugler,mugler.com/int/en/,apparel & cosmetics,Less than $750K
964,Thorntons,www.thorntonsinc.com,gas & grocery stores,Less than $750K
966,"Tilly's, Inc.",www.tillys.com,apparel retailer,Less than $750K
967,Timbuk2,www.timbuk2.com/,specialty retailer,Less than $750K
968,"Toni & Guy USA, Inc.",www.toniguy.com/,hairdressing salons & training schools,Less than $750K
969,totes-Isotoner Corporation,www.totes.com,accessories,Less than $750K
970,Trans World Entertainment Corporation,www.twec.com,specialty retailers,Less than $750K
971,TravelCenters of America,www.tatravelcenters.com,truck stops,Less than $750K
972,"Treasure Island Foods, Inc.",www.tifoods.com,grocery store chain,Less than $750K
974,Tully's Coffee Corporation,www.tullys.com,"beverages, non-alcoholic",Less than $750K
975,"Tween Brands, Inc. ",www.limitedtoo.com,youth clothing & apparel,Less than $750K
976,"TYR Sport, Inc.",www.tyr.com,swim wear manufacturer,Less than $750K
977,"Ultra Stores, Inc.",www.ultradiamonds.com,fine jewelry,Less than $750K
978,"Unified Grocers, Inc.",www.uwgrocers.com,grocery products,Less than $750K
986,Vallarta Supermarkets Inc,www.lesliespool.com,pool supply stores,Less than $750K
987,"ValueVision Media, Inc. ",www.valuevisionmedia.com ,home shopping TV,Less than $750K
988,"Van Cleef & Arpels, Inc.",www.vancleef-arpels.com,fine jewelry & watches,Less than $750K
989,"Vans, Inc.",www.vans.com,shoes,Less than $750K
990,"Varsity Brands, Inc.",www.varsity.com,sports & related equipment,Less than $750K
991,"Venus Swimwear, Inc.",www.venus.com,clothing,Less than $750K
994,Victoria's Secret Beauty,www.victoriassecret.com,intimate apparel & fragrances,Less than $750K
995,"Victoria's Secret Direct, LLC",www.victoriassecret.com,intimate apparel & fragrances,Less than $750K
999,"Wacoal America, Inc.",www.wacoal-america.com,intimate apparel,Less than $750K
1001,Warburg Pincus LLC,www.warburgpincus.com,private investment firm,Less than $750K
1003,Warrior Sports,www.warriorsports.com,athletic apparel,Less than $750K
1004,Weatherproof Garment Company,www.weatherproofgarment.com,apparel,Less than $750K
1005,Wells Lamont Corporation,www.wellslamont.com,gloves,Less than $750K
1006,"Western Beef, Inc.",www.westernbeef.com,grocery store,Less than $750K
1007,"Weyco Group, Inc.",www.weycogroup.com,men's footwear,Less than $750K
1008,Wiley X,www.wileyx.com,sunglasses,Less than $750K
1009,Wilsons Leather,www.wilsonsleather.com,leather apparel,Less than $750K
1010,"WinCo Foods, Inc.",www.wincofoods.com,grocery stores,Less than $750K
1011,"Woolrich, Inc.",www.woolrich.com,fabrics & clothing,Less than $750K
1013,YM LLC USA,www.mandee.com,discount clothing retailer,Less than $750K
1014,YMI Jeanswear Inc.,www.ymijeans.com,jeans,Less than $750K
1015,Yogurtland,www.yogurt-land.com,frozen yogurt chain,Less than $750K
1016,"Z Gallerie, Inc.",www.zgallerie.com,decorative furnishings & textiles,Less than $750K
1017,"Zones, Inc. ",www.zones.com,technology products reseller,Less than $750K
1018,"Zumiez, Inc.",www.zumiez.com,sports apparel and equipment,Less than $750K
