,Company Name,Company Website,Description,Media Spend (M)
283,"The Finish Line, Inc.",www.finishline.com,athletic footwear & apparel, $5 - 10 
285,The TruGreen Companies ,www.trugreen.com,lawn care product application, $5 - 10 
289,Williamson-Dickie Manufacturing Co.,www.dickies.com,"pants, jeans", $5 - 10 
290,Winmark Corporation,www.winmarkcorporation.com,multi outlet retailer, $5 - 10 
292,"Zazzle.com, Inc.",www.zazzle.com,custom T-shirts & accessories, $5 - 10 
294,Allen-Edmonds Shoe Corporation,www.allenedmonds.com,men's shoes & accessories, $3 - 5 
297,Blair Corporation,www.blair.com,apparel & home decor retailer, $3 - 5 
299,"Charming Shoppes, Inc.",www.charmingshoppes.com,women's clothing chain & gifts, $3 - 5 
300,CustomInk,www.customink.com,custom apparel & specialty items, $3 - 5 
302,Diesel Jeans,www.diesel.com,jeans, $3 - 5 
304,Fantastic Sams International,www.fantasticsams.com,hair salons, $3 - 5 
306,FGX International,www.fgxi.com,sunglasses, $3 - 5 
307,"Forever 21, Inc.",www.forever21.com,women's & junior's apparel, $3 - 5 
309,"Harris Teeter, Inc.",www.harristeeter.com,grocery chain, $3 - 5 
311,"Ingles Markets, Inc. ",www.ingles-markets.com,grocery chain, $3 - 5 
312,"Interstate Battery System of America, Inc.",www.ibsa.com,automotive products / parts manufacturer, $3 - 5 
313,LifeProof,www.lifeproof.com,mobile technology cases & accessories, $3 - 5 
314,"Lifetouch, Inc.",www.lifetouch.com,portrait photographers, $3 - 5 
315,"Love's Travel Stops & Country Stores, Inc.",www.loves.com,"travel centers, convenience stores", $3 - 5 
316,"Lucky Brand Dungarees, Inc.",www.luckybrandjeans.com,"casual clothing, accessories", $3 - 5 
317,"Marchon Eyewear, Inc.",www.marchon.com,eye wear, $3 - 5 
318,"Merle Norman Cosmetics, Inc. ",www.merlenorman.com,cosmetics & body care studios, $3 - 5 
321,"Paul Stuart, Inc.",www.paulstuart.com,clothing, $3 - 5 
323,"Quality Food Centers, Inc.",www.qfconline.com,retail food stores, $3 - 5 
325,"Quiksilver, Inc.",www.quiksilver.com,athletic apparel, $3 - 5 
326,"RaceTrac Petroleum, Inc.",www.racetrac.com,convenience stores & gas stations, $3 - 5 
328,Samsonite Corporation,www.samsonite.com,luggage, $3 - 5 
329,"ShopRite Supermarkets, Inc.",www.shoprite.com,supermarkets, $3 - 5 
330,"Smith's Food & Drug Centers, Inc.",www.smithsfoodanddrug.com,grocery & drug stores, $3 - 5 
332,Timex Corporation,www.timex.com,watches, $3 - 5 
335,Tractor Supply Company,www.tractorsupplyco.com,farm equipment stores, $3 - 5 
338,Wegmans Food Markets,www.wegmans.com,grocery stores, $3 - 5 
339,"Weis Markets, Inc.",www.weis.com,grocery store chain, $3 - 5 
340,84 Lumber Company,www.84lumber.com,building products retailer, $1 - 3 
341,"A.C. Moore Arts & Crafts, Inc.",www.acmoore.com,arts & crafts retailers, $1 - 3 
346,"Armstrong Garden Centers, Inc.",www.armstronggarden.com,garden centers, $1 - 3 
350,"Bashas, Inc.",www.bashas.com,supermarkets, $1 - 3 
351,"Bath & Body Works, Inc.",www.bathandbodyworks.com,body & hair care products, $1 - 3 
352,Benetton USA Corporation,www.benetton.com,adult & children's apparel, $1 - 3 
353,"Big Y Foods, Inc.",www.bigy.com,supermarket chain, $1 - 3 
354,"Birks Group, Inc.",www.birksandmayors.com,jewelry store chain, $1 - 3 
355,"Boot Barn, Inc.",www.bootbarn.com,boot & work wear retailer, $1 - 3 
358,Bushnell Performance Optics,www.bushnellperformanceoptics.com,"binoculars, telescopes, rangefinders, sports optics", $1 - 3 
359,Cato Corporation,www.catocorp.com,retail clothing stores, $1 - 3 
361,"Charming Charlie, Inc.",www.charmingcharlie.com,fashion jewelry & accessories, $1 - 3 
363,Cintas Corporation,www.cintas-corp.com,uniform manufacturers, $1 - 3 
366,"Cumberland Farms, Inc.",www.cumberlandfarms.com,convenience stores, $1 - 3 
367,"Devanlay USA, Inc.",www.lacoste-usa.com,clothing retailer, $1 - 3 
368,"DGSE Companies, Inc.",www.dgse.com,"Gold, silver exchange retailer", $1 - 3 
370,Dollar Tree Stores,www.dollartree.com,discount variety stores, $1 - 3 
372,E. Gluck Corporation,www.egluck.com,watch manufacturer, $1 - 3 
373,Ecco USA,www.ecco.com,shoes, $1 - 3 
374,Electronic Express,www.electronicexpress.com,electronics retailer, $1 - 3 
375,"Etienne Aigner Group, Inc.",www.etienneaigner.com,leather goods retail, $1 - 3 
377,Fink's Jewelers,www.finks.com,jewelry stores, $1 - 3 
378,For Eyes Optical,www.foreyes.com,eye care, $1 - 3 
381,Grand Home Furnishings Company,www.grandhomefurnishings.com/,furniture, $1 - 3 
384,"Hancock Fabrics, Inc.",www.hancockfabrics.com,"fabrics, sewing tools", $1 - 3 
385,Hannaford Brothers ,www.hannaford.com,supermarket chain, $1 - 3 
